Markers,	Elevation(Meters),Latitude,Longitude
A,116.2880401611328,45.76850002949891,-74.0379353203125
B,17.66488075256348,45.75240411632901,-73.5842000190414
C,38.24816131591797,45.64497938606917,-73.1337604820974
D,40.59542083740234,45.4495533092117,-73.1073933616526
E,42.04873275756836,45.251127450404134,-73.2150594108052
F,43.6938591003418,45.33305278818217,-73.6248493995763
G,24.5950870513916,45.480374116392745,-74.0104695
H,108.9140319824219,45.668016347133964,-74.368623801066
I,132.0577697753906,45.435678411693395,-74.263155046875
J,42.48826599121094,45.28978620087187,-73.8533650581039
A,11.83542728424072,46.422667761526384,-63.6646562033552
B,12.58912754058838,46.43856923095122,-63.5020585973966
C,0,46.426499019253,-63.1741333007813
D,13,46.35219112566949,-62.9527421911466
E,43.25619506835938,46.3089508277569,-62.8395829779315
F,30.04066848754883,46.236807655898815,-62.9758135472644
G,76.84628295898437,46.261119097466356,-63.3108964712578
H,47.82261276245117,46.34233234194797,-63.5196367056328
I,11,46.37948317779821,-63.7613359243828
J,0,46.501372533817616,-63.921736298244
A,9,46.67050415218611,-64.1041093702647
B,-414.4067993164062,48.440346598913365,-60.6649249516569
C,113.2164611816406,49.45597375160573,-62.4768493800571
D,182,49.590049470347694,-62.9470642075672
E,165,49.574378744743136,-62.7756774924842
F,65.08385467529297,49.571528971286625,-62.5625427310502
G,172,49.29072816919044,-62.7932556216752
H,-9.056563377380371,49.35392108142214,-63.4907787280461
I,84.2542724609375,49.60517898538259,-63.5621898608586
J,120,49.70048966860126,-63.7379710899038
A,97.02230072021484,47.23001201705053,-65.7531702080962
B,0,47.065630350480916,-65.1170618348044
C,-9.996138572692871,46.91199883636988,-64.8105432633531
D,76,46.826373702997465,-65.2423059921932
E,48,46.85718444136567,-65.5740930680406
F,39.95223999023438,47.01172227898074,-65.8531457982246
G,272.4113159179688,47.34031007860582,-65.9926721528393
H,134,47.31946051523921,-65.4752161149156
I,21,47.290406340396004,-65.0291712098044
J,-26,47.18149762587831,-64.6270715333742
A,274.6439819335938,45.61277479087132,-65.2834809969756
B,120.3108673095703,45.50200187263151,-65.6614107012394
C,166.8597106933594,45.82447918049045,-65.7449067782256
D,118.9637603759766,45.96746078213351,-65.2955659411493
E,278.7405090332031,45.857389906571754,-64.8385347079131
F,-12.46280193328857,45.65041853694937,-64.5858491610381
G,114,45.521248945020496,-64.590243792871
H,-24.83988761901855,45.53510278502101,-64.9374116610381
I,252,45.581257530619155,-65.2296480562184
J,237.6142883300781,45.7785247156795,-65.2900727770868
Markers,	Elevation(Meters),Latitude,Longitude
A,76.33187103271484,45.64651548418077,-74.1873494079582
B,69.66484069824219,45.6956481935411,-73.8951130546875
C,20.8213939666748,45.67876368274016,-73.6270466316737
D,23.01986503601074,45.470359198679496,-73.4325886573888
E,35.91126251220703,45.343864215238206,-73.5666219108052
F,51.31547927856445,45.28360260564618,-74.0005817879237
G,55.33060073852539,45.36548099422948,-74.2159138443194
H,44.73276901245117,45.50039864172529,-74.368623801066
I,206.4764099121094,45.728635004607966,-74.3092976333819
J,70.0833740234375,45.75930293654574,-73.9071979988612
A,50.72465133666992,45.73093568535324,-73.7435017768539
B,15.53157234191895,45.7363035670148,-73.208467546875
C,34.84056854248047,45.67339026560334,-73.0601521171875
D,36.13193511962891,45.595033457778754,-72.9997273125
E,35.59983444213867,45.50886839393617,-72.9931356162078
F,37.39664077758789,45.41717328932017,-73.0140095725901
G,49.35146713256836,45.32841862016537,-73.1403523460276
H,43.71383285522461,45.30446963378668,-73.3381062522776
I,38.36904907226562,45.48191472177198,-73.3414021842427
J,43.4319953918457,45.60886908648918,-73.3051472679026
A,46.8890266418457,45.66110625685046,-73.1381551139302
B,36.7634162902832,45.640370853654794,-73.1381551139302
C,34.4827766418457,45.62577467891351,-73.0832234733052
Markers,	Elevation(Meters),Latitude,Longitude
A,37.53660583496094,45.62039617563603,-74.1049519470207
B,78.56234741210937,45.68643908951475,-73.8039265815414
C,26.27228355407715,45.62961614686641,-73.669893328125
D,26.07833671569824,45.5504287645497,-73.5501424186177
E,21,45.4148597261612,-73.8445759620763
F,21,45.40251907275996,-74.0203572120763
G,104.3311080932617,45.40329045913903,-74.2170124603681
H,60.70023345947266,45.50809847979935,-74.4356404068194
I,79.99609375,45.65803481880975,-74.4510212620035
J,179.5703430175781,45.71559602611611,-74.2236042823888
Markers,	Elevation(Meters),Latitude,Longitude
A,163.612060546875,45.63345736621017,-72.420506732497
B,161.3977813720703,45.61885937610774,-72.4227039645944
C,175.2904663085938,45.60771626484939,-72.3815052341257
D,194.4894561767578,45.60079873482483,-72.3611805438582
E,177.4595794677734,45.57888758350292,-72.3600819278095
F,199.5134429931641,45.55889100162886,-72.3578846118931
G,86.47572326660156,45.59580219658742,-72.545201539952
H,135.0827484130859,45.704088537758,-72.5188343356882
I,137.2047424316406,45.73476994754554,-72.409520404372
J,171.5513000488281,45.68452034385958,-72.3073475192819
A,192.5110931396484,45.63768238144255,-72.2798816989694
B,79.993408203125,45.59695529238616,-72.7874500457716
C,87.24932861328125,45.66456141593233,-72.7852527927194
D,70.7746353149414,45.6898926848772,-72.7001087497507
E,66.0174560546875,45.643059211521056,-72.6748402034451
F,86.9200668334961,45.57004382376823,-72.6726429294382
G,109.1724243164062,45.48345529971651,-72.6676990734
H,62.24306869506836,45.625006365455256,-72.7308704601188
Markers,	Elevation(Meters),Latitude,Longitude
Markers,	Elevation(Meters),Latitude,Longitude
Markers,	Elevation(Meters),Latitude,Longitude
A,64.12477111816406,45.645747440390174,-73.9379597511388
B,45.03435897827148,45.56119864197679,-74.1247273292638
C,41.60857391357422,45.641138971158234,-73.3611775245763
D,35.54989242553711,45.478833498272905,-73.0953083336599
E,72.32777404785156,45.346180714699734,-72.8821736350901
F,50.79602813720703,45.323784131910564,-73.7061482444651
G,60.50484085083008,45.35930562685866,-74.3323689056806
H,42,45.594264723102064,-74.5081501766354
I,168.9673309326172,45.74013745336035,-74.153291765625
J,20.08014297485352,45.7393706942253,-73.3809529487289
A,22.28237342834473,45.73783715167905,-73.1777057945974
B,12.19390106201172,45.6818339688823,-73.1985799186177
C,34.92007446289062,45.6434432458359,-72.966768328125
Markers,	Elevation(Meters),Latitude,Longitude
Markers,	Elevation(Meters),Latitude,Longitude
A,48.41785049438477,45.601951698626365,-74.3785114921875
